county,precinct,office,district,party,candidate,votetype,votes
Allegheny,Bethel Park Ward 6 Dist 2,US President,NA,GRN,Jill Stein,total,4
Allegheny,Bethel Park Ward 6 Dist 2,US President,NA,LIB,Chase Oliver,total,4
Allegheny,Bethel Park Ward 6 Dist 2,US President,NA,WRI,Write-in,total,4
Allegheny,Bethel Park Ward 6 Dist 3,US President,NA,DEM,Kamala D. Harris,total,380
Allegheny,Bethel Park Ward 6 Dist 3,US President,NA,REP,Donald J. Trump,total,364
Allegheny,Bethel Park Ward 6 Dist 3,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 6 Dist 3,US President,NA,LIB,Chase Oliver,total,0
Allegheny,Bethel Park Ward 6 Dist 3,US President,NA,WRI,Write-in,total,2
Allegheny,Bethel Park Ward 7 Dist 1,US President,NA,DEM,Kamala D. Harris,total,479
Allegheny,Bethel Park Ward 7 Dist 1,US President,NA,REP,Donald J. Trump,total,534
Allegheny,Bethel Park Ward 7 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 7 Dist 1,US President,NA,LIB,Chase Oliver,total,1
Allegheny,Bethel Park Ward 7 Dist 1,US President,NA,WRI,Write-in,total,5
Allegheny,Bethel Park Ward 7 Dist 2,US President,NA,DEM,Kamala D. Harris,total,537
Allegheny,Bethel Park Ward 7 Dist 2,US President,NA,REP,Donald J. Trump,total,483
Allegheny,Bethel Park Ward 7 Dist 2,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 7 Dist 2,US President,NA,LIB,Chase Oliver,total,6
Allegheny,Bethel Park Ward 7 Dist 2,US President,NA,WRI,Write-in,total,5
Allegheny,Bethel Park Ward 7 Dist 3,US President,NA,DEM,Kamala D. Harris,total,343
Allegheny,Bethel Park Ward 7 Dist 3,US President,NA,REP,Donald J. Trump,total,293
Allegheny,Bethel Park Ward 7 Dist 3,US President,NA,GRN,Jill Stein,total,2
Allegheny,Bethel Park Ward 7 Dist 3,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Bethel Park Ward 7 Dist 3,US President,NA,WRI,Write-in,total,5
Allegheny,Bethel Park Ward 8 Dist 1,US President,NA,DEM,Kamala D. Harris,total,231
Allegheny,Bethel Park Ward 8 Dist 1,US President,NA,REP,Donald J. Trump,total,235
Allegheny,Bethel Park Ward 8 Dist 1,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 8 Dist 1,US President,NA,LIB,Chase Oliver,total,2
Allegheny,Bethel Park Ward 8 Dist 1,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 8 Dist 2,US President,NA,DEM,Kamala D. Harris,total,239
Allegheny,Bethel Park Ward 8 Dist 2,US President,NA,REP,Donald J. Trump,total,146
Allegheny,Bethel Park Ward 8 Dist 2,US President,NA,GRN,Jill Stein,total,1
Allegheny,Bethel Park Ward 8 Dist 2,US President,NA,LIB,Chase Oliver,total,3
Allegheny,Bethel Park Ward 8 Dist 2,US President,NA,WRI,Write-in,total,1
Allegheny,Bethel Park Ward 8 Dist 3,US President,NA,DEM,Kamala D. Harris,total,567
